timestamp,repo_id,module,condition,test_scope,build_tool,focal_class,target_tests,tests_found,mutations_generated,mutations_killed,mutations_survived,mutations_no_coverage,mutation_score_pct,run_dir
20260225T021736Z,103035,red5_base,HUMAN,focal,maven,org.red5.server.service.ConversionUtils,org.red5.server.service.ConversionUtilsTest,7,96,25,1,70,96.153846,D:\Khedma\Mr wiem\mutation-test-pipeline\artifacts\runs\20260225T021736Z_103035_red5_base_HUMAN_focal_maven
20260225T021754Z,103035,red5_base,AI_ONLY,focal,maven,org.red5.server.service.ConversionUtils,org.red5.server.service.ConversionUtilsAiTest,10,96,21,9,66,70.000000,D:\Khedma\Mr wiem\mutation-test-pipeline\artifacts\runs\20260225T021754Z_103035_red5_base_AI_ONLY_focal_maven
20260225T022213Z,103035,red5_base,HUMAN,focal,maven,org.red5.server.service.ConversionUtils,org.red5.server.service.ConversionUtilsTest,7,96,25,1,70,96.153846,D:\Khedma\Mr wiem\mutation-test-pipeline\artifacts\runs\20260225T022213Z_103035_red5_base_HUMAN_focal_maven
20260225T022229Z,103035,red5_base,AI_ONLY,focal,maven,org.red5.server.service.ConversionUtils,org.red5.server.service.ConversionUtilsAiTest,10,96,21,9,66,70.000000,D:\Khedma\Mr wiem\mutation-test-pipeline\artifacts\runs\20260225T022229Z_103035_red5_base_AI_ONLY_focal_maven
20260225T022347Z,152812,core,HUMAN,focal,maven,de.javakaffee.web.msm.NodeIdService,de.javakaffee.web.msm.NodeIdServiceTest,1,20,10,0,10,100.000000,D:\Khedma\Mr wiem\mutation-test-pipeline\artifacts\runs\20260225T022347Z_152812_core_HUMAN_focal_maven
20260225T022424Z,154520,vraptor-core,HUMAN,focal,maven,br.com.caelum.vraptor.converter.LongConverter,br.com.caelum.vraptor.converter.LongConverterTest,4,3,3,0,0,100.000000,D:\Khedma\Mr wiem\mutation-test-pipeline\artifacts\runs\20260225T022424Z_154520_vraptor-core_HUMAN_focal_maven
20260225T022550Z,168535,alterego,HUMAN,focal,maven,de.linsin.alterego.Bot,de.linsin.alterego.BotTest,13,29,7,7,15,50.000000,D:\Khedma\Mr wiem\mutation-test-pipeline\artifacts\runs\20260225T022550Z_168535_alterego_HUMAN_focal_maven
20260225T023353Z,103035,red5_base,HUMAN,focal,maven,org.red5.server.service.ConversionUtils,org.red5.server.service.ConversionUtilsTest,7,96,25,1,70,96.153846,D:\Khedma\Mr wiem\mutation-test-pipeline\artifacts\runs\20260225T023353Z_103035_red5_base_HUMAN_focal_maven
20260225T023409Z,103035,red5_base,AI_ONLY,focal,maven,org.red5.server.service.ConversionUtils,org.red5.server.service.ConversionUtilsAiTest,10,96,21,9,66,70.000000,D:\Khedma\Mr wiem\mutation-test-pipeline\artifacts\runs\20260225T023409Z_103035_red5_base_AI_ONLY_focal_maven
20260225T023507Z,152812,core,HUMAN,focal,maven,de.javakaffee.web.msm.NodeIdService,de.javakaffee.web.msm.NodeIdServiceTest,1,20,10,0,10,100.000000,D:\Khedma\Mr wiem\mutation-test-pipeline\artifacts\runs\20260225T023507Z_152812_core_HUMAN_focal_maven
20260225T023524Z,154520,vraptor-core,HUMAN,focal,maven,br.com.caelum.vraptor.converter.LongConverter,br.com.caelum.vraptor.converter.LongConverterTest,4,3,3,0,0,100.000000,D:\Khedma\Mr wiem\mutation-test-pipeline\artifacts\runs\20260225T023524Z_154520_vraptor-core_HUMAN_focal_maven
20260225T023600Z,168535,alterego,HUMAN,focal,maven,de.linsin.alterego.Bot,de.linsin.alterego.BotTest,13,29,7,7,15,50.000000,D:\Khedma\Mr wiem\mutation-test-pipeline\artifacts\runs\20260225T023600Z_168535_alterego_HUMAN_focal_maven
