"repo_id","module","condition","mutation_score"
"116547","cuke4duke-maven-plugin","HUMAN","0"
"116547","cuke4duke-maven-plugin","AI_ONLY","0"
"121672","cascading-core","HUMAN","0"
"121672","cascading-core","AI_ONLY","0"
"123235","app","HUMAN","0"
"123235","app","AI_ONLY","0"
"135867","web-nutsNbolts","HUMAN","0"
"135867","web-nutsNbolts","AI_ONLY","0"
"145875","dbdeploy-core","HUMAN","0"
"145875","dbdeploy-core","AI_ONLY","0"
"152134","koskela","HUMAN","0"
"152134","koskela","AI_ONLY","0"
"152812","core","HUMAN","0.5"
"152812","core","AI_ONLY","0"
"154520","vraptor-core","HUMAN","1"
"154520","vraptor-core","AI_ONLY","0"
"160996","util","HUMAN","0"
"160996","util","AI_ONLY","0"
"160999","zookeeper-server","HUMAN","0"
"160999","zookeeper-server","AI_ONLY","0"
"161005","jspwiki-main","HUMAN","0"
"161005","jspwiki-main","AI_ONLY","0"
"168535","alterego","HUMAN","0.2413793103448276"
"168535","alterego","AI_ONLY","0"
"169928","DVR","AI_ONLY","0"
"169928","DVR","HUMAN","0"
"184604","twitter4j-core","HUMAN","0"
"184604","twitter4j-core","AI_ONLY","0"
"200121","constretto-core","HUMAN","0"
"200121","constretto-core","AI_ONLY","0"
"206318","fop-core","HUMAN","0"
"206318","fop-core","AI_ONLY","0"
"206322","maven-ejb-plugin","HUMAN","0"
"206322","maven-ejb-plugin","AI_ONLY","0"
"206341","enforcer-rules","HUMAN","0"
"206341","enforcer-rules","AI_ONLY","0"
"206364","openjpa-lib","HUMAN","0"
"206364","openjpa-lib","AI_ONLY","0"
"206366","coap","HUMAN","0"
"206366","coap","AI_ONLY","0"
"206398","httpcore5","HUMAN","0"
"206398","httpcore5","AI_ONLY","0"
"206402","httpclient5-cache","HUMAN","0"
"206402","httpclient5-cache","AI_ONLY","0"
"206403","jackrabbit-spi2dav","HUMAN","0"
"206403","jackrabbit-spi2dav","AI_ONLY","0"
"206437","xdbm-partition","HUMAN","0"
"206437","xdbm-partition","AI_ONLY","0"
"32578","service","HUMAN","0"
"32578","service","AI_ONLY","0"
"116547","cuke4duke-maven-plugin","HUMAN","0"
"116547","cuke4duke-maven-plugin","AI_ONLY","0"
"121672","cascading-core","HUMAN","0"
"121672","cascading-core","AI_ONLY","0"
"123235","app","HUMAN","0"
"123235","app","AI_ONLY","0"
"135867","web-nutsNbolts","HUMAN","0"
"135867","web-nutsNbolts","AI_ONLY","0"
"145875","dbdeploy-core","HUMAN","0"
"145875","dbdeploy-core","AI_ONLY","0"
"152134","koskela","HUMAN","0"
"152134","koskela","AI_ONLY","0"
"152812","core","HUMAN","0.5"
"152812","core","AI_ONLY","0"
"154520","vraptor-core","HUMAN","1"
"154520","vraptor-core","AI_ONLY","0"
"160996","util","HUMAN","0"
"160996","util","AI_ONLY","0"
"160999","zookeeper-server","HUMAN","0"
"160999","zookeeper-server","AI_ONLY","0"
"161005","jspwiki-main","HUMAN","0"
"161005","jspwiki-main","AI_ONLY","0"
"168535","alterego","HUMAN","0.2413793103448276"
"168535","alterego","AI_ONLY","0"
"169928","DVR","AI_ONLY","0"
"169928","DVR","HUMAN","0"
"184604","twitter4j-core","AI_ONLY","0"
"184604","twitter4j-core","HUMAN","0"
"200121","constretto-core","HUMAN","0"
"200121","constretto-core","AI_ONLY","0"
"206318","fop-core","HUMAN","0"
"206318","fop-core","AI_ONLY","0"
"206322","maven-ejb-plugin","HUMAN","0"
"206322","maven-ejb-plugin","AI_ONLY","0"
"206341","enforcer-rules","AI_ONLY","0"
"206341","enforcer-rules","HUMAN","0"
"206364","openjpa-lib","HUMAN","0"
"206364","openjpa-lib","AI_ONLY","0"
"206366","coap","HUMAN","0"
"206366","coap","AI_ONLY","0"
"206398","httpcore5","HUMAN","0"
"206398","httpcore5","AI_ONLY","0"
"206402","httpclient5-cache","HUMAN","0"
"206402","httpclient5-cache","AI_ONLY","0"
"206403","jackrabbit-spi2dav","HUMAN","0"
"206403","jackrabbit-spi2dav","AI_ONLY","0"
"206437","xdbm-partition","HUMAN","0"
"206437","xdbm-partition","AI_ONLY","0"
"32578","service","HUMAN","0"
"32578","service","AI_ONLY","0"
