timestamp,repo_id,module,condition,test_scope,build_tool,focal_class,target_tests,tests_found,mutations_generated,mutations_killed,mutations_survived,mutations_no_coverage,mutation_score_pct,status,phase,exit_code,error_type,error_message,retries,fixed_by,pit_target_classes,pit_version,pit_status,pit_log_file,run_dir
20260411T211421Z,100021742,spring-cloud-stream-binder-artemis,HUMAN,focal,maven,me.snowdrop.stream.binder.artemis.provisioning.ArtemisBrokerManager,me.snowdrop.stream.binder.artemis.provisioning.ArtemisBrokerManagerTest,9,22,11,0,11,100.000000,OK,summarize,0,,,0,NONE,me.snowdrop.stream.binder.artemis.provisioning.ArtemisBrokerManager*,1.6.9,OK,D:\Khedma\Mr wiem\mutation-test-pipeline\logs\runs\20260411T211421Z_100021742_spring-cloud-stream-binder-artemis_HUMAN_focal_maven\04_pit.log,D:\Khedma\Mr wiem\mutation-test-pipeline\logs\runs\20260411T211421Z_100021742_spring-cloud-stream-binder-artemis_HUMAN_focal_maven
20260411T211511Z,100021742,spring-cloud-stream-binder-artemis,AI_ONLY,focal,maven,me.snowdrop.stream.binder.artemis.provisioning.ArtemisBrokerManager,,,,,,,,FAIL,clone,1,FILE_NOT_FOUND,Generated AI test not found: D:\Khedma\Mr wiem\mutation-test-pipeline\experiments\generated_tests\100021742_19_GeneratedTest.java,0,NONE,,1.6.9,,,D:\Khedma\Mr wiem\mutation-test-pipeline\logs\runs\20260411T211511Z_100021742_spring-cloud-stream-binder-artemis_AI_ONLY_focal_maven
scorer,100035986,codalab/scorer,HUMAN,focal,maven,de.tudarmstadt.ukp.argumentation.semeval2018.Scorer,de.tudarmstadt.ukp.argumentation.semeval2018.ScorerTest,,,,,,,FAIL,test,1,TEST_FAILURE,"Command '['mvn.cmd', '-s', 'D:\\Khedma\\Mr wiem\\mutation-test-pipeline\\.mvn\\settings.xml', '-Dtest=de.tudarmstadt.ukp.argumentation.semeval2018.ScorerTest', 'test']' returned non-zero exit status 1.: [INFO] Scanning for projects... [INFO] [INFO] --------< de.tudarmstadt.ukp.argumentation.semeval2018:scorer >--------- [INFO] Building scorer 1.0-SNAPSHOT [INFO] from pom.xml [INFO] ---------------",0,NONE,,1.6.9,,,D:\Khedma\Mr wiem\mutation-test-pipeline\logs\runs\20260411T211526Z_100035986_codalab\scorer_HUMAN_focal_maven
scorer,100035986,codalab/scorer,AI_ONLY,focal,maven,de.tudarmstadt.ukp.argumentation.semeval2018.Scorer,,,,,,,,FAIL,clone,1,FILE_NOT_FOUND,Generated AI test not found: D:\Khedma\Mr wiem\mutation-test-pipeline\experiments\generated_tests\100035986_1_GeneratedTest.java,0,NONE,,1.6.9,,,D:\Khedma\Mr wiem\mutation-test-pipeline\logs\runs\20260411T211540Z_100035986_codalab\scorer_AI_ONLY_focal_maven
20260411T211554Z,10005385,store,HUMAN,focal,maven,,,,,,,,,FAIL,clone,1,MODULE_MISSING,Module directory does not exist: D:\Khedma\Mr wiem\mutation-test-pipeline\target-repos\10005385\store,0,NONE,,1.6.9,,,D:\Khedma\Mr wiem\mutation-test-pipeline\logs\runs\20260411T211554Z_10005385_store_HUMAN_focal_maven
20260411T211555Z,10005385,store,AI_ONLY,focal,maven,,,,,,,,,FAIL,clone,1,MODULE_MISSING,Module directory does not exist: D:\Khedma\Mr wiem\mutation-test-pipeline\target-repos\10005385\store,0,NONE,,1.6.9,,,D:\Khedma\Mr wiem\mutation-test-pipeline\logs\runs\20260411T211555Z_10005385_store_AI_ONLY_focal_maven
20260412T134832Z,100021742,spring-cloud-stream-binder-artemis,HUMAN,focal,maven,me.snowdrop.stream.binder.artemis.provisioning.ArtemisBrokerManager,me.snowdrop.stream.binder.artemis.provisioning.ArtemisBrokerManagerTest,9,22,11,0,11,100.000000,OK,summarize,0,,,0,NONE,me.snowdrop.stream.binder.artemis.provisioning.ArtemisBrokerManager*,1.6.9,OK,D:\Khedma\Mr wiem\mutation-test-pipeline\logs\runs\20260412T134832Z_100021742_spring-cloud-stream-binder-artemis_HUMAN_focal_maven\04_pit.log,D:\Khedma\Mr wiem\mutation-test-pipeline\logs\runs\20260412T134832Z_100021742_spring-cloud-stream-binder-artemis_HUMAN_focal_maven
20260412T134859Z,100021742,spring-cloud-stream-binder-artemis,AI_ONLY,focal,maven,me.snowdrop.stream.binder.artemis.provisioning.ArtemisBrokerManager,,,,,,,,FAIL,clone,1,FILE_NOT_FOUND,Generated AI test not found: D:\Khedma\Mr wiem\mutation-test-pipeline\experiments\generated_tests\100021742_19_GeneratedTest.java,0,NONE,,1.6.9,,,D:\Khedma\Mr wiem\mutation-test-pipeline\logs\runs\20260412T134859Z_100021742_spring-cloud-stream-binder-artemis_AI_ONLY_focal_maven
20260412T170914Z,100021742,spring-cloud-stream-binder-artemis,HUMAN,focal,maven,me.snowdrop.stream.binder.artemis.provisioning.ArtemisBrokerManager,me.snowdrop.stream.binder.artemis.provisioning.ArtemisBrokerManagerTest,9,22,11,0,11,100.000000,OK,summarize,0,,,0,NONE,me.snowdrop.stream.binder.artemis.provisioning.ArtemisBrokerManager*,1.6.9,OK,D:\Khedma\Mr wiem\mutation-test-pipeline\logs\runs\20260412T170914Z_100021742_spring-cloud-stream-binder-artemis_HUMAN_focal_maven\04_pit.log,D:\Khedma\Mr wiem\mutation-test-pipeline\logs\runs\20260412T170914Z_100021742_spring-cloud-stream-binder-artemis_HUMAN_focal_maven
20260412T170935Z,100021742,spring-cloud-stream-binder-artemis,AI_ONLY,focal,maven,me.snowdrop.stream.binder.artemis.provisioning.ArtemisBrokerManager,me.snowdrop.stream.binder.artemis.provisioning.ArtemisBrokerManagerAiTest,,,,,,,FAIL,test,1,COMPILATION,"Command '['mvn.cmd', '-s', 'D:\\Khedma\\Mr wiem\\mutation-test-pipeline\\.mvn\\settings.xml', '-Dtest=me.snowdrop.stream.binder.artemis.provisioning.ArtemisBrokerManagerAiTest', 'test']' returned non-zero exit status 1.: [INFO] Scanning for projects... [INFO] [INFO] -----------< me.snowdrop:spring-cloud-stream-binder-artemis >----------- [INFO] Building Spring Cloud Stream Artemis binder 0.1.3-SNA",0,NONE,,1.6.9,,,D:\Khedma\Mr wiem\mutation-test-pipeline\logs\runs\20260412T170935Z_100021742_spring-cloud-stream-binder-artemis_AI_ONLY_focal_maven
